sample_date,site_id,site_type,latitude,longitude,DIP,NH4,NO3,TDN,TN,TP,TN_uM,TP_uM,DIN_uM,NH4_uM,NO3_uM,DIP_uM,env
2022-01-14,TL1,TonleSapEdge,13.2142403333333,103.6826,,51.6875,,51.49625,861.7769231,103.3333,61.526049897549,3.33615604511186,3.67654408247482,2.86540536165504,,,edge
2022-01-14,TL2,TonleSapEdge,13.2199628333333,103.683355,0.02,53.55813953,0.1939,49.86291667,956.0076923,85.7576,68.2535995130902,2.76871768978911,3.55993322267201,2.96910820158705,3.12721759886459,0.21058971437717,edge
2022-01-14,TL3,TonleSapEdge,13.2403831666667,103.757041666667,0.0224,49.60465116,0.03674,48.10525,1179.853846,779.3939,84.2349622680574,25.1630371913827,3.43444565814931,2.74993825193503,0.592542416618283,0.235860480102431,edge
2022-01-15,TL4,TonleSapEdge,13.032366,103.744706666667,0.04983,51.6875,0.01905,49.39125,1236.007692,69.0909,88.2440326415216,2.23062675533656,3.52625886183041,2.86540536165504,0.30723824269402,0.52468427337072,edge
2022-01-15,TL5,TonleSapEdge,13.0401671666667,103.757608333333,,54.8125,,50.03125,1169.469231,76.0882,83.4935588682559,2.45653732525411,3.57195128045864,3.0386463145967,,,edge
2022-01-15,TL6,TonleSapEdge,13.0129045,103.769361666667,0.03692,26.47916667,0.2383,818.5495495,1357.161538,74.0294,96.8937392819151,2.39006816124138,58.4398573182834,1.46792834144378,3.84330043223018,0.388748612740257,edge
2022-01-16,TL10,TonleSapEdge,12.8723848333333,103.8999,0.01,11.47916667,0.01072,496.027027,823.6487179,51.3939,58.8039094076406,1.6592721820253,35.4135540134364,0.636371767323818,0.172892071479259,0.105294857188585,edge
2022-01-16,TL11,TonleSapEdge,12.8074766666667,103.998816666667,0.01,9.837209302,0.03691,406.0301548,1056.007692,77.4545,75.3930399023325,2.5006488556556,28.988280951259,0.545346404404811,0.595284175214502,0.105294857188585,edge
2022-01-16,TL12,TonleSapMiddle,12.901502,104.05206,0.01,7.511627907,0.01,272.0855746,586.3923077,145.6364,41.8651293809391,4.70192819012196,19.4253874645705,0.416422904560589,0.161279917424682,0.105294857188585,pelagic
2022-01-16,TL13,TonleSapEdge,13.0424935,104.102671666667,0.04187,58.5625,0.06821,678.6846847,1145.623077,179.8788,81.7910769131916,5.80745747989726,48.4542886404364,3.24653545812669,1.10009031675376,0.440869567048606,edge
2022-01-16,TL8,TonleSapEdge,12.862279,103.88325,0.05789,156.5813953,0.03028,732.2882883,1355.238462,72.8529,96.7564424168434,2.3520843981459,52.2812859774251,8.68041924310612,0.488355589961938,0.60955192826472,edge
2022-01-16,TL9,TonleSapEdge,12.8623635,103.883198333333,0.02079,13.55813953,0.01123,604.4354354,958.0589744,50.7941,68.4000495762742,1.63990740420577,43.1533077313,0.751624003933817,0.181117347267918,0.218908008095069,edge
2022-01-17,CZ15,TonleSapEdge,12.7924523333333,104.133961666667,,66.89583333,,2188.034247,2773.315385,49.6176,197.999199311758,1.60192364111029,156.213401229412,3.70851133245299,,,edge
2022-01-18,TL17,TonleSapEdge,12.68672,104.1515,,23.77083333,,198.3569682,452.1871795,50.7941,32.2836342250494,1.63990740420577,14.161577545032,1.3177861818581,,,edge
2022-01-18,TL18,TonleSapEdge,12.7736135,104.271583333333,0.0332,19.1875,0.01429,311.5721271,499.7769231,47.7576,35.6812756109576,1.54187281292705,22.2445063505322,1.06369945106179,0.230469001999871,0.349578925866103,edge
2022-01-18,TL19,TonleSapEdge,12.8313188333333,104.294851666667,0.02697,12.3125,0.01,401.3846781,925.4948718,57.2647,66.0751548758808,1.84881325842219,28.6566199104714,0.682569354590137,0.161279917424682,0.283980229837614,edge
