date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2014-09-14,surface,0.348339320470588,4.93552477620761,,,1.27715960386159,29.3587724933287,,,,floodplain,holtgrieve,14.1687271179721,,high,104.33956,12.74914,Central,7.135
2014-09-14,surface,0.363477707764706,3.61590057998616,,,0.527723999460208,128.867777255253,,,,pelagic,holtgrieve,9.94806697286338,,high,104.08109,13.0605,North,7.135
2014-09-14,surface,0.301546780705882,8.42938110038776,,,2.65299044548097,141.77,,,,edge,holtgrieve,27.9538089601079,,high,104.09797,13.06239,North,7.135
2014-09-14,surface,0.195874223529412,16.4260695944637,,,11.0239720899654,117.79134230692,,,,river_tributary,holtgrieve,83.8602920715454,,high,104.4882,12.5515,South,7.135
2014-09-14,surface,0.305403863058824,7.65421359247059,,,1.51445997745329,164.45,,,,pelagic,holtgrieve,25.0625958552342,,high,104.20988,12.69156,Central,7.135
2014-09-14,surface,0.403427583058823,4.00210971791004,,,1.21258149613841,83.626823098436,,,,pelagic,holtgrieve,9.92026793895869,,high,104.16687,12.65388,Central,7.135
2014-09-14,surface,0.288913206588235,5.76115392600693,,,1.0399712342699,102.829752379197,,,,edge,holtgrieve,19.940777349849,,high,104.14899,12.65222,Central,7.135
2014-09-14,surface,0.770341264,9.821601464,,,0.433822744,61.814932228,,,,floodplain,holtgrieve,12.7496759202555,,high,104.14134,12.64576,Central,7.135
2014-09-14,surface,0.0461016470588235,0.387056270242215,,,0.153378633564014,125.909490716609,,,,pelagic,holtgrieve,8.39571457714622,,high,104.20988,12.69156,Central,7.135
2015-01-01,surface,0.201905116952551,16.3377586166184,,,10.2428236310982,163.808999171308,,,,river_tributary,holtgrieve,80.9180017981309,,falling,104.29267,12.33009,,3.375
2015-01-01,surface,0.0795800200490086,2.45042521274226,,,0.127080793049677,124.669854595678,,,,pelagic,holtgrieve,30.7919652600388,,falling,104.3518,12.74111,Central,3.375
2015-01-01,surface,0.112417992871464,5.03892008687904,,,0.367315963466251,96.994894631321,,,,edge,holtgrieve,44.8230746535425,,falling,104.3491,12.74496,Central,3.375
2015-01-01,surface,0.313618587658721,5.86113174649143,,,0.325900485631544,99.8182989797282,,,,floodplain,holtgrieve,18.6887256595566,,falling,104.3396,12.74914,Central,3.375
2015-01-01,surface,0.148776168411673,1.79955095121407,,,0.00766140788594347,105.017868812653,,,,pelagic,holtgrieve,12.0956936210012,,falling,104.43185,12.57056,South,3.375
2015-01-01,surface,0.163268915125863,2.19618464914235,,,0.00756378703497453,106.019553644464,,,,edge,holtgrieve,13.4513336323042,,falling,104.43597,12.57097,South,3.375
2015-01-01,surface,0.322898164401871,5.31836259523279,,,0.0716743239028737,106.761194729338,,,,floodplain,holtgrieve,16.4707117647584,,falling,104.46304,12.54738,South,3.375
2015-01-01,surface,0.104291249721541,2.12508604143462,,,0,179.994221439073,,,,pelagic,holtgrieve,20.3764558110927,,falling,103.70402,13.24449,North,3.375
2015-01-01,surface,0.0514248407217643,1.95900495433282,,,0,181.579841657385,,,,edge,holtgrieve,38.0945264358149,,falling,103.69703,13.24751,North,3.375
2015-01-01,surface,0.101611202940521,6.19469351080418,,,0.152730568055246,177.649132755625,,,,floodplain,holtgrieve,60.964670543565,,falling,103.69299,13.24803,North,3.375
