date,region,blue,coastal,green,red,nir,swir1,swir2
2013-04-03,South,0.0671442871696853,0.0446795989412822,0.13013326162605,0.104953982091125,0.182586390803,0.0493001728464703,0.0339277676991517
2013-04-03,Central,0.0893493489936035,0.0668975564389088,0.152592040991774,0.160651317211043,0.153331960521964,0.0439405655516448,0.0327011902921475
2013-04-03,North,0.0864244821335553,0.0659136615999209,0.141126524407225,0.153817511195669,0.13770649201782,0.0361286567725191,0.0258875626150142
2013-04-08,South,0.0991384282070213,0.0747114958335762,0.152857436492741,0.159666180350743,0.170854729183956,0.0556666228015213,0.0404845973911915
2013-04-08,Central,0.0874059965197537,0.0678718581604951,0.145017327085067,0.150862461013583,0.157229965391287,0.0459391520052632,0.0342527004919506
2013-04-08,North,0.0717928296590964,0.052251816117679,0.128411965909629,0.133818333244112,0.145521204886928,0.0322532774776867,0.0244857404946512
2013-04-15,South,0.0851786343612335,0.0759226892330752,0.124241923076923,0.1110575,0.385539166666667,0.212335,0.106975944025522
2013-04-15,Central,0.110584140625,0.0900855128205128,0.159423663194444,0.183134748995984,0.176744993403694,0.0610573790686121,0.04907025
2013-04-22,South,0.137215606531107,0.115733331720496,0.196302883597687,0.231430879712506,0.250948688227909,0.0810284743073383,0.0620027557155034
2013-04-22,Central,0.136245332645433,0.111818561392422,0.200675873040803,0.237316808758569,0.251007127668481,0.0790940464821392,0.0600475182914262
2013-04-22,North,0.105944978635366,0.0854525742038233,0.164561211564913,0.200706517808829,0.217779881769496,0.0556686775714547,0.0473682897393387
2013-05-17,South,0.0930324814474473,0.0749568233961104,0.143055148849126,0.174305402885648,0.177625661335548,0.0381363587445738,0.0263925617291523
2013-05-17,Central,0.10815030444126,0.0930289546122177,0.154048416231765,0.187983404482337,0.208000920686037,0.038063007900024,0.0278283750512776
2013-06-02,South,0.0909285604101828,0.0752490341369813,0.141659185641234,0.172868660901295,0.130770382231728,0.00857800146861769,0.00455785545119536
2013-06-02,Central,0.106486841004624,0.0908714936248251,0.153373275828726,0.194334640165137,0.185521433332051,0.012735128969253,0.00680883640985497
2013-06-09,South,0.133073489309438,0.116456889230613,0.187021316755247,0.235839564517291,0.249034357125742,0.0674069352935897,0.050299690282452
2013-06-09,Central,0.118209128016607,0.098623904667294,0.172811104628561,0.21973622252199,0.236400066513265,0.0537656398592696,0.0400907865457141
2013-06-09,North,0.104539426282004,0.0870020287131903,0.159244343371392,0.206097614188905,0.224684250413562,0.040057278826889,0.0302995331927305
2013-06-18,South,0.0913038098623629,0.073265496894318,0.152836651764802,0.192381985183275,0.107235299251853,0.00663695372637744,0.00530644188842125
2013-06-18,Central,0.0946832301502007,0.0752386574674149,0.155773758169814,0.20214837381322,0.177684439617994,0.0106640527252966,0.00730586120157852
2013-06-25,South,0.0849385698479234,0.0673714659371221,0.143549901329403,0.170865265126838,0.0888634084291884,0.0243821461806407,0.0180511711281433
2013-06-25,Central,0.103573244707102,0.0849538498059967,0.157252058945847,0.20213942438159,0.177715796755675,0.0263462525353936,0.018495019890932
2013-06-25,North,0.103506589205141,0.0879344354688168,0.157223215190792,0.209926235945961,0.220806235413776,0.0342563497359844,0.0263580359675456
2013-07-04,South,0.0771704014617823,0.0615118625091734,0.127941643436218,0.124019605080831,0.044883630967303,0.0244203889268932,0.0205168321071094
2013-07-04,Central,0.0732853684839689,0.0596092268728294,0.122068838449382,0.120121670687948,0.0449089121206483,0.0224442320282634,0.0190432119256182
2013-07-11,South,0.12571431372549,0.110589620382262,0.18432796875,0.197041333333333,0.088400995269828,0.0543959,0.0436886714596423
2013-07-11,Central,0.0605440720204791,0.0449521068655118,0.119236333220988,0.126964940261479,0.0370410121701533,0.013551410808051,0.0106911134539993
2013-07-11,North,0.0918286755879683,0.0723344411710217,0.15819124085906,0.201161850346871,0.189459310053914,0.0371021104482447,0.0322458315678776
2013-07-27,South,0.11866285636283,0.0991212670835114,0.176282111770084,0.191874603075432,0.100549006401301,0.0727707016605623,0.0559010780468228
2013-07-27,Central,0.106449878029143,0.0869281657713472,0.169425306388555,0.184083335368115,0.088882276074426,0.0688597880294838,0.0551548670716771
2013-07-27,North,0.10751875,0.0901708333333333,0.15440625,0.19413,0.21348725,0.0687575,0.0561075
2013-08-05,South,0.0634206551472778,0.0537071411671758,0.122106732247394,0.153335339067378,0.0371096576189044,0.00736862164649947,0.00513182735971377
2013-08-05,Central,0.0849605676913124,0.0692566195196076,0.141729534317795,0.157235844897124,0.0330102477808455,0.00627340092430265,0.00430010173382781
2013-08-21,South,-0.069343298212956,-0.0459083883091661,0.0439844259242066,0.0479099533703863,-0.00195540764406757,0.0209895460275104,0.0217111421334349
2013-08-21,Central,-0.161163234636328,-0.182707172228844,-0.0385789596518987,-0.00824251805646751,-0.035395787026205,0.0194160400262467,0.0264279200542005
2013-09-06,South,0.00489100539585946,-0.00485196167739887,0.0361184800873859,0.0263258047836846,0.0165908646098617,0.0224528645915961,0.0229353487758844
2013-09-06,Central,0.0107392567739876,-0.000920223197891839,0.0459485001354494,0.0263335640529398,0.0175424454398033,0.0244133785734918,0.0224879705937475
2013-09-29,South,-0.0565959046998875,-0.0918591298827043,0.0801833010374352,0.0839225566592728,0.00961280145347516,0.0516877811402424,0.0498728741859111
2013-09-29,Central,-0.115249250696265,-0.142615885886953,-0.00199697472745293,-0.00209123427401011,-0.0100111719652236,0.0407855525453999,0.0419310196909056
2013-09-29,North,-0.00485020495981144,-0.0341902066855461,0.0771363149891619,0.0575976641514975,0.00995174068656967,0.0361751927270074,0.0336926277286934
