y,from,to,estimate,sterr,t,p,lower_2.5,upper_97.5,p_adj
DIP,low,rising,-0.267199453373392,0.220799599695061,-1.21014464583456,0.228030728135794,-0.727049908855303,0.185882212635696,1
DIP,rising,high,-0.909177721926639,0.147388193335166,-6.16859262165687,5.54570649191789e-09,-1.19894227939292,-0.612657941166941,2.44011085644387e-07
DIP,high,falling,-0.0269756938797667,0.161444510141701,-0.167089570627641,0.867513228269017,-0.349576630988168,0.294837692611673,1
DIP,falling,low,1.2033528691798,0.229457151095772,5.24434676990101,4.96770172952131e-07,0.730815634572404,1.68000415595841,2.18578876098937e-05
DIN,low,rising,0.836969378344214,0.187189634658997,4.47123784321134,1.44609745776243e-05,0.473567568105942,1.19445218108232,0.000636282881415467
DIN,rising,high,-1.04536800875954,0.129055037694125,-8.10017204626429,1.18868030469181e-13,-1.28970189100934,-0.796277398281576,5.23019334064398e-12
DIN,high,falling,0.582966062180451,0.138986965655972,4.19439376512067,4.46821625686752e-05,0.302289218118562,0.863023413538211,0.00196601515302171
DIN,falling,low,-0.374567431765122,0.192071261270098,-1.95014823814996,0.052863477061076,-0.758835263611919,0.0125341106353284,1
TP,low,rising,0.0277740722085034,0.158702373345579,0.175007289576095,0.86128590585049,-0.283889730444421,0.336343186621616,1
TP,rising,high,-0.602074121816512,0.120541215303414,-4.99475735582251,1.47333846783731e-06,-0.832061417279994,-0.364772196817985,6.48268925848416e-05
TP,high,falling,-0.149231355868178,0.12894575973247,-1.15731883062921,0.248794756639553,-0.401708447608177,0.10036816966025,1
TP,falling,low,0.723531405476173,0.164018116785824,4.41128955541517,1.8360320873847e-05,0.404863360658066,1.04251600213245,0.000807854118449268
TN,low,rising,-0.134697222374181,0.151704713053901,-0.887890821996565,0.376167071633599,-0.435463318772154,0.163542912501906,1
TN,rising,high,-0.673888599359657,0.0997178560430446,-6.75795315002324,3.75558327787054e-10,-0.868522473037562,-0.47407154887529,1.65245664226304e-08
TN,high,falling,0.713114771530317,0.105770922370755,6.7420681936635,4.0764646837314e-10,0.501860432429711,0.921811329944877,1.79364446084181e-08
TN,falling,low,0.0954710502035297,0.154371479469532,0.618450056523379,0.537313118534495,-0.21114459632735,0.403450865471781,1
