y,from,variable,estimate,sterr,t,p,lower_2.5,upper_97.5
DIP,low,(Intercept),0.203089826994397,0.210165596470719,0.966332408371568,0.335354656967973,-0.229470779689165,0.645019455241086
DIP,low,seasonrising,-0.267199453373392,0.220799599695061,-1.21014464583456,0.228030728135794,-0.727049908855303,0.185882212635696
DIP,low,seasonhigh,-1.17637717530003,0.177485904472973,-6.62800338310341,5.09143366559009e-10,-1.54663789610022,-0.810940759616962
DIP,low,seasonfalling,-1.2033528691798,0.229457151095771,-5.244346769901,4.96770172952155e-07,-1.68000415595841,-0.730815634572408
DIP,low,datasetholtgrieve,-0.676525115593864,0.167888307234091,-4.02961425211445,8.66179059072673e-05,-1.00015260852535,-0.338810911709341
DIP,low,datasetmiller,-0.177155828197458,0.291639075715524,-0.607448874135995,0.544425096341735,-0.746644850034401,0.44197334310918
DIP,low,datasetyoshikawa,-1.54897373491095,0.198099396890593,-7.81917441054313,7.0688338238868e-13,-1.95554423851046,-1.13571755601949
DIP,low,regionCentral,0.011421906750606,0.146273871584229,0.0780857621863719,0.937858634114042,-0.281577485901995,0.312161446441159
DIP,low,regionSouth,-0.0267696019031768,0.208354522941113,-0.128481021315494,0.897931711108435,-0.442257475590158,0.412928500117699
DIP,rising,(Intercept),-0.0641096263789949,0.0863069294335305,-0.742809723388075,0.458699861883536,-0.22714299425046,0.107641025314784
DIP,rising,seasonlow,0.267199453373394,0.220799599695061,1.21014464583457,0.22803072813579,-0.185882212635698,0.727049908855305
DIP,rising,seasonhigh,-0.909177721926639,0.147388193335166,-6.16859262165687,5.54570649191789e-09,-1.19894227939292,-0.612657941166941
DIP,rising,seasonfalling,-0.936153415806405,0.138767852832466,-6.74618362032753,2.71432804584077e-10,-1.20411908008246,-0.661734952713257
DIP,rising,datasetholtgrieve,-0.676525115593863,0.167888307234091,-4.02961425211445,8.66179059072675e-05,-1.00015260852535,-0.338810911709339
DIP,rising,datasetmiller,-0.177155828197459,0.291639075715525,-0.607448874136,0.544425096341732,-0.746644850034403,0.441973343109183
DIP,rising,datasetyoshikawa,-1.54897373491095,0.198099396890593,-7.81917441054314,7.06883382388665e-13,-1.95554423851046,-1.13571755601949
DIP,rising,regionCentral,0.0114219067506064,0.146273871584229,0.0780857621863745,0.93785863411404,-0.281577485901995,0.312161446441161
DIP,rising,regionSouth,-0.026769601903177,0.208354522941113,-0.128481021315495,0.897931711108434,-0.442257475590159,0.412928500117702
DIP,high,(Intercept),-0.973287348305633,0.128401132047508,-7.58005270503006,2.75518788676793e-12,-1.22372199537142,-0.707118754944814
DIP,high,seasonlow,1.17637717530003,0.177485904472973,6.62800338310342,5.09143366558992e-10,0.810940759616961,1.54663789610022
DIP,high,seasonrising,0.909177721926637,0.147388193335166,6.16859262165685,5.54570649191844e-09,0.612657941166941,1.19894227939292
DIP,high,seasonfalling,-0.0269756938797667,0.161444510141701,-0.167089570627641,0.867513228269017,-0.349576630988168,0.294837692611673
DIP,high,datasetholtgrieve,-0.676525115593866,0.167888307234092,-4.02961425211445,8.66179059072657e-05,-1.00015260852535,-0.33881091170934
DIP,high,datasetmiller,-0.177155828197458,0.291639075715524,-0.607448874135997,0.544425096341734,-0.746644850034401,0.44197334310918
DIP,high,datasetyoshikawa,-1.54897373491095,0.198099396890593,-7.81917441054314,7.06883382388662e-13,-1.95554423851046,-1.13571755601949
DIP,high,regionCentral,0.0114219067506061,0.146273871584229,0.0780857621863727,0.937858634114041,-0.281577485901993,0.31216144644116
DIP,high,regionSouth,-0.0267696019031779,0.208354522941113,-0.1284810213155,0.897931711108431,-0.442257475590159,0.4129285001177
DIP,falling,(Intercept),-1.0002630421854,0.111892524413503,-8.93949839301948,9.77796561868187e-16,-1.21106553798586,-0.774241521970069
DIP,falling,seasonlow,1.2033528691798,0.229457151095772,5.24434676990101,4.96770172952131e-07,0.730815634572404,1.68000415595841
DIP,falling,seasonrising,0.936153415806404,0.138767852832466,6.74618362032752,2.71432804584082e-10,0.661734952713258,1.20411908008246
DIP,falling,seasonhigh,0.026975693879767,0.161444510141702,0.167089570627643,0.867513228269015,-0.294837692611675,0.34957663098817
DIP,falling,datasetholtgrieve,-0.676525115593866,0.167888307234092,-4.02961425211445,8.66179059072661e-05,-1.00015260852535,-0.338810911709339
DIP,falling,datasetmiller,-0.177155828197456,0.291639075715524,-0.607448874135991,0.544425096341738,-0.746644850034405,0.441973343109184
DIP,falling,datasetyoshikawa,-1.54897373491096,0.198099396890593,-7.81917441054314,7.0688338238866e-13,-1.95554423851046,-1.13571755601949
DIP,falling,regionCentral,0.011421906750606,0.146273871584229,0.0780857621863719,0.937858634114042,-0.281577485901996,0.312161446441161
DIP,falling,regionSouth,-0.0267696019031779,0.208354522941113,-0.1284810213155,0.89793171110843,-0.442257475590161,0.412928500117702
DIN,low,(Intercept),2.67817432705214,0.176705027851111,15.1561863271301,5.26907498766544e-33,2.33541680018392,3.02878601203241
DIN,low,seasonrising,0.836969378344214,0.187189634658997,4.47123784321134,1.44609745776243e-05,0.473567568105942,1.19445218108232
DIN,low,seasonhigh,-0.208398630415328,0.147997744466731,-1.40812031403746,0.160988259816836,-0.508864986789115,0.0861435185228507
DIN,low,seasonfalling,0.37456743176512,0.192071261270097,1.95014823814996,0.0528634770610761,-0.0125341106353284,0.758835263611918
DIN,low,datasetholtgrieve,-0.590039507345406,0.147063034281159,-4.01215376950101,9.12734024952297e-05,-0.868449654979217,-0.300304008197531
DIN,low,datasetmiller,0.449051295407248,0.255112946632026,1.76020582779344,0.0802371351278111,-0.0655080326223307,1.00183630492058
DIN,low,datasetloken,0.436061299436785,0.254300940989716,1.714745127327,0.0882809033460388,-0.0529040446059277,0.965805008468985
DIN,low,datasetyoshikawa,-2.19878228645136,0.171422606156643,-12.826676339538,1.58558167019007e-26,-2.53232822841513,-1.86114073537951
DIN,low,regionCentral,-0.136744956743899,0.12471874324032,-1.09642667325798,0.274499485075062,-0.394990638935766,0.125361551262146
DIN,low,regionSouth,0.0288674411225559,0.177738396410088,0.162415334590683,0.871178737442275,-0.347612249283253,0.421387191534879
DIN,rising,(Intercept),3.51514370539636,0.0760390033062062,46.2281665008286,5.61141976744692e-96,3.36720540120718,3.66999522637571
DIN,rising,seasonlow,-0.836969378344207,0.187189634658997,-4.47123784321132,1.44609745776257e-05,-1.19445218108232,-0.473567568105942
DIN,rising,seasonhigh,-1.04536800875954,0.129055037694125,-8.10017204626429,1.18868030469181e-13,-1.28970189100934,-0.796277398281576
DIN,rising,seasonfalling,-0.462401946579088,0.121424117148175,-3.80815572259682,0.000197542404440953,-0.69855395389262,-0.221656750392512
DIN,rising,datasetholtgrieve,-0.590039507345411,0.147063034281159,-4.01215376950103,9.12734024952227e-05,-0.868449654979217,-0.300304008197531
DIN,rising,datasetmiller,0.44905129540725,0.255112946632025,1.76020582779345,0.0802371351278088,-0.065508032622331,1.00183630492058
DIN,rising,datasetloken,0.436061299436781,0.254300940989716,1.71474512732698,0.0882809033460419,-0.0529040446059284,0.965805008468983
DIN,rising,datasetyoshikawa,-2.19878228645137,0.171422606156643,-12.826676339538,1.5855816701899e-26,-2.53232822841513,-1.86114073537951
DIN,rising,regionCentral,-0.1367449567439,0.12471874324032,-1.09642667325798,0.274499485075062,-0.394990638935766,0.125361551262146
DIN,rising,regionSouth,0.0288674411225556,0.177738396410088,0.162415334590682,0.871178737442276,-0.347612249283253,0.421387191534878
DIN,high,(Intercept),2.46977569663682,0.111860940723896,22.0789819990243,5.4097796929976e-51,2.25757392947317,2.69361933931523
DIN,high,seasonlow,0.208398630415328,0.147997744466731,1.40812031403745,0.160988259816839,-0.086143518522852,0.508864986789115
