"","model","estimate","X2.5..","X97.5.."
"init","DIN-DIP",0.436657223084551,0.27185638365715,0.598401289943165
"X","TN-TP",0.294635993608475,0.133587030493723,0.455836577841362
"X.1","Chl-cond",-0.00168813679964088,-0.00544413148934424,0.00210778439781582
"X.2","DSi-cond",-0.0061259656129153,-0.0112046266277976,-0.000885978289630333
"X.3","TN-cond",-0.00116231107185935,-0.00317229302733626,0.000852342207868003
"X.4","DIN-cond",-0.00564764013820305,-0.00797835752173422,-0.00330720574915539
"X.5","TP-cond",-0.00685301699060548,-0.00908171156799032,-0.00461458069679838
"X.6","DIP-cond",-0.0124557464157624,-0.0166683372976981,-0.00817801054022719
