predictor,weight
TN,0.932194055326177
TP,0.997165856182177
DSi,0.472459474918587
N/P,0.271661617819805
region,0.978691940834688
dataset,0.510654029582638
season,0.999999923439738
TN * season,0.154673221627564
TP * season,0.996257235474622
DSi * season,0.0471626798178335
