predictor,weight
DIN,0.752277568569508
DIP,0.768242908322679
DSi,0.758883801327865
N/P,0.582899498498935
region,0.497918890354075
dataset,0.927365092854693
season,0.999999999234892
DIN * season,0.235954810049821
DIP * season,0.668029550178365
DSi * season,0.0992148782483046
