covariate,coef,2.5 %,97.5 %
(Intercept),4.1360663616569,3.42021427841088,4.88433499361887
TP,-0.0275615040249951,-0.0797984926368717,0.0278478938452817
seasonrising,-1.90512734612076,-2.86733826477742,-0.956287735677502
seasonhigh,-1.25598990262693,-2.02936855678062,-0.508713729777435
seasonfalling,-0.820342500941833,-2.15907602715962,0.534283813367291
regionCentral,0.566143042963581,0.0865932830239463,1.07670338630299
regionSouth,-3.01028684553592,-3.45748390709516,-2.54329227623067
TN,0.000798374939847683,0.000254692037362412,0.00138326744743187
TP:seasonrising,0.484947795954468,0.257177980851165,0.716306302978103
TP:seasonhigh,0.0778142776959995,-0.00253088572830299,0.159625011594865
TP:seasonfalling,-0.172202393916194,-1.11681665032923,0.775148028051809
R2_dev,0.749732027425574,,
R2_var,0.503447545260487,,
